source,target,relationship
7.NS.A.2.d,7.NS.A.3,dependency
7.NS.A.2.d,8.NS.A.1,dependency
7.NS.A.3,7.EE.B.3,dependency
7.NS.A.3,7.EE.B.4.a,dependency
7.NS.A.3,8.EE.A.2,dependency
7.RP.A.1,7.RP.A.2,dependency
7.RP.A.1,HSG.MG.A.2,dependency
7.RP.A.1,HSN.Q.A.1,dependency
7.RP.A.2,7.EE.B.4.a,conceptual connection
7.RP.A.2,7.G.A.1,dependency
7.RP.A.2,7.RP.A.3,dependency
7.RP.A.2,8.EE.B.5,dependency
7.RP.A.2,8.EE.B.6,dependency
7.RP.A.2,8.F.A.1,dependency
7.RP.A.2,8.F.A.2,dependency
7.RP.A.2,8.F.B.4,dependency
7.RP.A.2,HSG.SRT.C.6,dependency
7.RP.A.3,7.SP.C.6,dependency
7.RP.A.3,7.SP.C.7,dependency
7.RP.A.3,7.SP.C.8,dependency
7.RP.A.3,HSA.SSE.B.3.c,dependency
7.RP.A.3,HSF.IF.C.8.b,dependency
7.SP.A.1,7.SP.A.2,dependency
7.SP.A.1,HSS.IC.A.1,dependency
7.SP.A.1,HSS.IC.B.3,dependency
7.SP.A.2,7.SP.B.4,dependency
7.SP.A.2,HSS.IC.B.4,dependency
7.SP.B.3,7.SP.B.4,dependency
7.SP.B.3,HSS.ID.A.2,dependency
7.SP.B.4,HSS.IC.B.5,dependency
7.SP.B.4,HSS.ID.A.2,dependency
7.SP.C.5,7.SP.A.1,dependency
7.SP.C.5,7.SP.C.6,dependency
7.SP.C.6,7.SP.C.7,dependency
7.SP.C.7,7.SP.C.8,dependency
7.SP.C.7,HSS.IC.A.2,dependency
7.SP.C.8,HSS.CP.A.1,dependency
7.SP.C.8,HSS.CP.A.2,dependency
7.SP.C.8,HSS.CP.B.6,dependency
8.EE.A.1,8.EE.A.3,dependency
8.EE.A.1,8.EE.A.4,dependency
8.EE.A.1,HSA.APR.A.1,dependency
8.EE.A.1,HSN.RN.A.1,dependency
8.EE.A.2,8.G.B.6,conceptual connection
8.EE.A.2,8.G.C.9,dependency
8.EE.A.2,HSA.CED.A.1,dependency
8.EE.A.2,HSA.REI.B.4.a,dependency
8.EE.A.2,HSA.REI.B.4.b,dependency
8.EE.A.2,HSN.RN.A.1,dependency
8.EE.A.3,8.EE.A.4,conceptual connection
8.EE.A.4,HSN.Q.A.1,dependency
8.EE.B.5,8.EE.B.6,conceptual connection
8.EE.B.5,8.F.A.2,dependency
8.EE.B.5,HSA.REI.D.10,dependency
8.EE.B.6,8.EE.C.8,dependency
8.EE.B.6,8.F.A.2,dependency
8.EE.B.6,8.F.A.3,dependency
8.EE.B.6,HSA.REI.D.10,dependency
8.EE.B.6,HSG.GPE.B.5,dependency
8.EE.C.7,HSA.CED.A.4,dependency
8.EE.C.7,HSA.REI.A.1,dependency
8.EE.C.7,HSA.REI.B.3,dependency
8.EE.C.7.a,8.EE.C.7.b,conceptual connection
8.EE.C.7.b,8.SP.A.3,conceptual connection
8.EE.C.8,HSA.CED.A.2,dependency
8.EE.C.8,HSA.CED.A.3,dependency
8.EE.C.8,HSA.REI.C.5,dependency
8.EE.C.8,HSA.REI.C.6,dependency
